GLEP_1	55133.1898365
GLF1_1	2e-15
GLEP_2	55263.90172
GLF1_2	-2e-15
GLEP_3	55279.366655000005
GLF1_3	2e-15
GLEP_4	55298.792174500006
GLF1_4	-2e-15
GLEP_5	55386.985769000006
GLF1_5	2e-15
GLEP_6	55392.4392075
GLF1_6	-2e-15
GLEP_7	55424.9995215
GLF1_7	2e-15
GLEP_8	55438.819380999994
GLF1_8	-2e-15
GLEP_9	55442.7333685
GLF1_9	2e-15
GLEP_10	55447.321737499995
GLF1_10	-2e-15
GLEP_11	55460.4053825
GLF1_11	2e-15
GLEP_12	55513.240751000005
GLF1_12	-2e-15
GLEP_13	55585.0393665
GLF1_13	2e-15
GLEP_14	55763.878370499995
GLF1_14	-2e-15
GLEP_15	55856.3059845
GLF1_15	2e-15
GLEP_16	55883.1621
GLF1_16	-2e-15
GLEP_17	55889.6015395
GLF1_17	2e-15
GLEP_18	55894.116959499996
GLF1_18	-2e-15
GLEP_19	55917.986940999996
GLF1_19	2e-15
GLEP_20	55932.413215
GLF1_20	-2e-15
GLEP_21	56024.1625925
GLF1_21	2e-15
GLEP_22	56216.300424
GLF1_22	-2e-15
GLEP_23	56285.100003
GLF1_23	2e-15
GLEP_24	56341.460399
GLF1_24	-2e-15
GLEP_25	56359.4010345
GLF1_25	2e-15
GLEP_26	56372.278197499996
GLF1_26	-2e-15
GLEP_27	56475.5641935
GLF1_27	2e-15
GLEP_28	56648.554912499996
GLF1_28	-2e-15
GLEP_29	56728.7716745
GLF1_29	2e-15
GLEP_30	56753.3289055
GLF1_30	-2e-15
GLEP_31	56753.332329
GLF1_31	2e-15
GLEP_32	56775.7859245
GLF1_32	-2e-15
GLEP_33	56797.241083
GLF1_33	2e-15
GLEP_34	56819.671693
GLF1_34	-2e-15
GLEP_35	56922.865531999996
GLF1_35	2e-15
GLEP_36	57086.3349865
GLF1_36	-2e-15
GLEP_37	57192.127227000004
GLF1_37	2e-15
GLEP_38	57256.956983
GLF1_38	-2e-15
GLEP_39	57270.813564
GLF1_39	2e-15
GLEP_40	57283.130987
GLF1_40	-2e-15
GLEP_41	57363.0363675
GLF1_41	2e-15
GLEP_42	57500.2770205
GLF1_42	-2e-15
GLEP_43	57615.456445
GLF1_43	2e-15
GLEP_44	57625.8090475
GLF1_44	-2e-15
GLEP_45	57666.295767
GLF1_45	2e-15
GLEP_46	57698.713575999995
GLF1_46	-2e-15
GLEP_47	57788.0546955
GLF1_47	2e-15
GLEP_48	57801.008987
GLF1_48	-2e-15
GLEP_49	57810.312247
GLF1_49	2e-15
GLEP_50	57950.035829500004
GLF1_50	-2e-15
GLEP_51	57963.0303355
GLF1_51	2e-15
GLEP_52	57976.469907499995
GLF1_52	-2e-15
